rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
537,HD 181433,Radial Velocity,3,962,15,-15,0,1.76,,,0,0.28,0.02,-0.02,0,,,,,0.64,,,0,,,,,,,,,,,,,0,0,4962,134,-134,0,0,0.78,,,,0,,,,,0
538,HD 181433,Radial Velocity,3,2172,158,-158,0,3,,,0,0.48,0.05,-0.05,0,,,,,0.54,,,0,,,,,,,,,,,,,0,0,4962,134,-134,0,0,0.78,,,,0,,,,,0
539,HD 181720,Radial Velocity,1,956,14,-14,0,1.78,,,0,0.26,0.06,-0.06,0,,,,,0.37,,,0,,,,,,,,,,,,,0,0,5781,18,-18,0,0,0.92,,,0,0,1.39,,,0,0
540,HD 183263,Radial Velocity,2,626.5,1.1,-1.1,0,1.51,0.087,-0.087,0,0.3567,0.009,-0.009,0,,,,,3.67,0.3,-0.3,0,,,,,,,,,,,,,0,0,5936,,,0,0,1.17,0.1,-0.1,0,0,,,,,0
541,HD 183263,Radial Velocity,2,3070,110,-110,0,4.35,0.28,-0.28,0,0.239,0.064,-0.064,0,,,,,3.57,0.55,-0.55,0,,,,,,,,,,,,,0,0,5936,,,0,0,1.17,0.1,-0.1,0,0,,,,,0
542,HD 185269,Radial Velocity,1,6.838,0.001,-0.001,0,0.077,,,0,0.3,0.04,-0.04,0,,,,,0.94,,,0,,,,,,,,,,,,,0,0,5980,50,-50,0,0,1.28,0.1,-0.1,0,0,1.88,0.1,-0.1,0,0
543,HD 187085,Radial Velocity,1,986,,,0,2.05,,,0,0.47,,,0,,,,,0.75,,,0,,,,,,,,,,,,,0,0,6075,30,-30,0,0,1.22,0.1,-0.06,0,0,,,,,0
544,HD 187123,Radial Velocity,2,3.0965828,0.0000078,-0.0000078,0,0.0426,0.0025,-0.0025,0,0.0103,0.0059,-0.0059,0,,,,,0.523,0.043,-0.043,0,,,,,,,,,,,,,0,0,5830,40,-40,0,0,1,0.1,-0.1,0,0,,,,,0
545,HD 187123,Radial Velocity,2,3810,420,-420,0,4.89,0.53,-0.53,0,0.252,0.033,-0.033,0,,,,,1.99,0.25,-0.25,0,,,,,,,,,,,,,0,0,5830,40,-40,0,0,1,0.1,-0.1,0,0,,,,,0
546,HD 188015,Radial Velocity,1,461.2,1.7,-1.7,0,1.203,0.07,-0.07,0,0.137,0.026,-0.026,0,,,,,1.5,0.13,-0.13,0,,,,,,,,,,,,,0,0,5746,,,0,0,1.09,,,0,0,,,,,0
