rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
1,4 UMa,Radial Velocity,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,,,,,7.1,1.6,-1.6,0,,,,,,,,,,,,,0,0,4415,70,-70,0,0,1.23,0.15,-0.15,0,0,18.11,1.47,-1.47,0,0
2,6 Lyn,Radial Velocity,1,874.774,16.27,-8.47,0,2.18,0.05,-0.06,0,0.059,,,0,,,,,2.21,0.11,-0.16,0,,,,,,,,,,,,,0,0,4978,18,-18,0,0,1.7,0.1,-0.2,0,0,5.2,0.4,-0.3,0,0
3,7 CMa,Radial Velocity,1,763,17,-17,0,1.9,0.1,-0.1,0,0.14,0.06,-0.06,0,,,,,2.6,0.6,-0.6,0,,,,,,,,,,,,,0,0,4792,100,-100,0,0,1.52,0.3,-0.3,0,0,2.3,0.1,-0.1,0,0
4,11 Com,Radial Velocity,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,,,,,,,,,,,,,0,0,4742,100,-100,0,0,2.7,0.3,-0.3,0,0,19,2,-2,0,0
5,11 UMi,Radial Velocity,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,,10.5,2.47,-2.47,0,,,,,,,,,,,,,0,0,4340,70,-70,0,0,1.8,0.25,-0.25,0,0,24.08,1.84,-1.84,0,0
6,14 And,Radial Velocity,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,,,,,,,,,,,,,0,0,4813,20,-20,0,0,2.2,0.1,-0.2,0,0,11,1,-1,0,0
7,14 Her,Radial Velocity,1,1773.4,2.5,-2.5,0,2.77,0.05,-0.05,0,0.369,0.005,-0.005,0,,,,,4.64,0.19,-0.19,0,,,,,,,,,,,,,0,0,5311,87,-87,0,0,0.9,0.05,-0.05,0,0,,,,,0
8,16 Cyg B,Radial Velocity,1,798.5,1,-1,0,1.681,0.097,-0.097,0,0.681,0.017,-0.017,0,1.68,0.15,-0.15,0,,,,,,,,,,,,,,,,,0,0,5674,,,0,0,0.99,,,0,0,,,,,0
9,18 Del,Radial Velocity,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,,,,,,,,,,,,,0,0,4979,18,-18,0,0,2.3,,,0,0,8.5,,,0,0
10,24 Sex,Radial Velocity,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,,,,,,,,,,,,,0,0,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0
11,24 Sex,Radial Velocity,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,,,,,,,,,,,,,0,0,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0
12,30 Ari B,Radial Velocity,1,335.1,2.5,-2.5,0,0.995,0.012,-0.012,0,0.289,0.092,-0.092,0,,,,,9.88,0.94,-0.94,0,,,,,,,,,,,,,0,0,6300,60,-60,0,0,1.16,0.04,-0.04,0,0,1.13,0.03,-0.03,0,0
13,42 Dra,Radial Velocity,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,,,,,3.88,0.85,-0.85,0,,,,,,,,,,,,,0,0,4200,70,-70,0,0,0.98,0.05,-0.05,0,0,22.03,1,-1,0,0
14,47 UMa,Radial Velocity,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,,,,,2.53,0.07,-0.06,0,,,,,,,,,,,,,0,0,5892,70,-70,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0
15,47 UMa,Radial Velocity,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,,,,,0.54,0.066,-0.073,0,,,,,,,,,,,,,0,0,5892,70,-70,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0
16,47 UMa,Radial Velocity,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,,,,,1.64,0.29,-0.48,0,,,,,,,,,,,,,0,0,5892,70,-70,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0
17,51 Peg,Radial Velocity,1,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,,,,,0.472,0.039,-0.039,0,,,,,,,,,,,,,0,0,5793,70,-70,0,0,1.12,0.06,-0.06,0,0,1.2,,,0,0
18,55 Cnc,Radial Velocity,5,14.65152,0.00015,-0.00015,0,0.115227,0.000001,-0.000001,0,0.0034,0.0032,-0.0032,0,0.8306,0.0033,-0.0033,0,,,,,,,,,,,,,90,,,0,0,0,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
19,55 Cnc,Radial Velocity,5,44.4175,0.0073,-0.0073,0,0.241376,0.000026,-0.000026,0,0.02,0.031,-0.031,0,0.1714,0.0055,-0.0055,0,,,,,,,,,,,,,90,,,0,0,0,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
20,55 Cnc,Radial Velocity,5,4825,39,-39,0,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,3.878,0.068,-0.068,0,,,,,,,,,,,,,90,,,0,0,0,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
21,55 Cnc,Radial Velocity,5,0.7365515,0.0000015,-0.0000015,0,0.015691,0,0,0,0.04,0.027,-0.027,0,0.02561,0.00073,-0.00073,0,,,,,,,,,,,,,90,,,0,0,0,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
22,55 Cnc,Radial Velocity,5,262,0.51,-0.51,0,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,0.141,0.012,-0.012,0,,,,,,,,,,,,,90,,,0,0,0,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
23,61 Vir,Radial Velocity,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,,,,,0.016,0.002,-0.002,0,,,,,,,,,,,,,0,0,5577,33,-33,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0
24,61 Vir,Radial Velocity,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,,,,,0.057,0.003,-0.003,0,,,,,,,,,,,,,0,0,5577,33,-33,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0
25,61 Vir,Radial Velocity,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,,,,,0.072,0.008,-0.008,0,,,,,,,,,,,,,0,0,5577,33,-33,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0
26,70 Vir,Radial Velocity,1,116.6926,0.0014,-0.0014,0,0.481,0.003,-0.003,0,0.399,0.002,-0.002,0,,,,,7.4,0.02,-0.02,0,,,,,,,,,,,,,0,0,5439,44,-44,0,0,1.09,0.02,-0.02,0,0,1.94,0.05,-0.05,0,0
27,75 Cet,Radial Velocity,1,691.9,3.6,-3.6,0,2.1,,,0,0.117,0.048,-0.048,0,3,,,0,,,,,,,,,,,,,,,,,0,0,4846,18,-18,0,0,2.49,0.02,-0.27,0,0,10.5,1,-1,0,0
28,81 Cet,Radial Velocity,1,952.7,8.8,-8.8,0,2.5,,,0,0.206,0.029,-0.029,0,,,,,5.3,,,0,,,,,,,,,,,,,0,0,4785,25,-25,0,0,2.4,0.1,-0.4,0,0,11,2,-1,0,0
29,91 Aqr,Radial Velocity,1,181.4,0.1,-0.1,0,0.7,,,0,0.027,0.026,-0.026,0,,,,,3.2,,,0,,,,,,,,,,,,,0,0,4665,18,-18,0,0,1.4,0.1,-0.1,0,0,11,0.1,-0.1,0,0
30,AB Pic,Imaging,1,,,,,260,,,0,,,,,13.5,0.5,-0.5,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
31,CT Cha,Imaging,1,,,,,440,,,0,,,,,17,6,-6,0,,,,,2.2,0.81,-0.6,0,,,,,,,,,0,0,,,,,,,,,,,,,,,
32,DH Tau,Imaging,1,,,,,330,,,0,,,,,11,10,-3,0,,,,,,,,,,,,,,,,,0,0,,,,,,0.33,,,0,0,0.27,0.07,-0.07,0,0
33,DP Leo,Eclipse Timing Variations,1,10220,730,-730,0,8.19,0.39,-0.39,0,0.39,0.13,-0.13,0,,,,,6.05,0.47,-0.58,0,,,,,,,,,,,,,0,0,,,,,,0.69,,,0,0,,,,,
34,FU Tau,Imaging,1,,,,,800,,,0,,,,,15.711,,,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
35,GQ Lup,Imaging,1,,,,,100,,,0,,,,,20,,,0,,,,,3,0.5,-0.5,0,,,,,,,,,0,0,,,,,,0.7,,,0,0,,,,,
36,GU Psc,Imaging,1,,,,,2000,200,-200,0,,,,,11.3,1.7,-1.7,0,,,,,1.265,0.115,-0.115,0,,,,,,,,,0,0,,,,,,0.33,0.03,-0.03,0,0,,,,,
37,HN Peg,Imaging,1,,,,,773,13,-13,0,,,,,21.9987,9.42803,-9.42803,0,,,,,1.051,0.136,-0.058,0,,,,,,,,,0,0,,,,,,,,,,,,,,,
38,NN Ser,Eclipse Timing Variations,2,5573.55,102.2,-102.2,0,5.35,0.06,-0.06,0,0.08,0.05,-0.05,0,7.33,0.31,-0.31,0,,,,,,,,,,,,,,,,,0,0,57000,,,0,0,0.54,,,0,0,,,,,
39,NN Ser,Eclipse Timing Variations,2,2883.5,182.5,-182.5,0,3.43,0.14,-0.14,0,0.19,0.05,-0.05,0,2.3,0.5,-0.5,0,,,,,,,,,,,,,,,,,0,0,57000,,,0,0,0.54,,,0,0,,,,,
40,NY Vir,Eclipse Timing Variations,1,2985.7,65.7,-65.7,0,,,,,0.44,0.17,-0.17,0,,,,,2.78,0.19,-0.19,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
41,RR Cae,Eclipse Timing Variations,1,4343.5,36.5,-36.5,0,5.3,0.6,-0.6,0,0,,,0,,,,,4.2,0.4,-0.4,0,,,,,,,,,17.6,,,-1,0,0,,,,,,0.44,,,0,0,,,,,
42,UZ For,Eclipse Timing Variations,2,5840,1095,-1095,0,5.9,1.4,-1.4,0,0.04,0.05,-0.05,0,6.3,1.5,-1.5,-1,,,,,,,,,,,,,,,,,0,0,,,,,,0.7,,,0,0,,,,,
43,UZ For,Eclipse Timing Variations,2,1916.25,91.25,-91.25,0,2.8,0.5,-0.5,0,0.05,0.05,-0.05,0,7.7,1.2,-1.2,-1,,,,,,,,,,,,,,,,,0,0,,,,,,0.7,,,0,0,,,,,
44,alf Ari,Radial Velocity,1,380.8,0.3,-0.3,0,1.2,,,0,0.25,0.03,-0.03,0,,,,,1.8,0.2,-0.2,0,,,,,,,,,,,,,0,0,4553,15,,0,,1.5,0.2,,0,,13.9,0.3,,0,
45,alf Cen B,Radial Velocity,1,3.2357,0.0008,-0.0008,0,0.04,,,0,0,,,0,,,,,0.0036,0.0003,-0.0003,0,,,,,,,,,,,,,0,0,5214,33,-33,0,1,0.93,0.01,-0.01,-1,1,0.86,,,0,1
46,bet Cnc,Radial Velocity,1,605.2,4,-4,0,1.7,0.1,-0.1,0,0.08,0.02,-0.02,0,,,,,7.8,0.8,-0.8,0,,,,,,,,,,,,,0,0,4092.1,17.5,-17.5,0,0,1.7,0.1,-0.1,0,0,47.2,1.3,-1.3,0,0
47,bet Pic,Imaging,1,7482.5,1058.5,-511,0,9.04,0.82,-0.41,0,0.06,0.07,-0.04,0,,,,,,,,,,,,,,,,,90.69,0.68,-0.68,0,0,0,,,,,,,,,,,,,,,
48,bet UMi,Radial Velocity,1,522.3,2.7,-2.7,0,1.4,0.1,-0.1,0,0.19,0.02,-0.02,0,,,,,6.1,1,-1,0,,,,,,,,,,,,,0,0,4126,25,-25,0,0,1.4,0.2,-0.2,0,0,38.3,1.1,-1.1,0,0
49,eps Eri,Radial Velocity,1,2502,10,-10,0,3.39,0.36,-0.36,0,0.702,0.039,-0.039,0,,,,,1.55,0.24,-0.24,0,,,,,,,,,30.1,3.8,-3.8,0,0,0,,,,,,0.83,0.05,,0,,,,,,
50,eps CrB,Radial Velocity,1,417.9,0.5,-0.5,0,1.3,,,0,0.11,0.03,-0.03,0,6.7,0.3,-0.3,0,,,,,,,,,,,,,,,,,0,0,4406,15,-15,0,0,1.7,0.1,-0.1,0,0,21,,,0,0
51,eps Tau,Radial Velocity,1,594.9,5.3,-5.3,0,1.93,0.03,-0.03,0,0.151,0.023,-0.023,0,,,,,7.6,0.2,-0.2,0,,,,,,,,,,,,,0,0,4901,20,,0,,2.7,0.1,,0,,13.7,0.6,,0,
52,gam 1 Leo,Radial Velocity,1,428.5,1.25,-1.25,0,1.19,0.02,-0.02,0,0.144,0.046,-0.046,0,,,,,8.78,1,-1,0,,,,,,,,,,,,,0,0,4330,15,,0,,1.23,0.21,,0,,31.88,1.61,,0,
53,gam Cep,Radial Velocity,1,905.574,3.08,-3.08,0,2.13,0.05,-0.05,0,0.12,0.05,-0.05,0,,,,,1.7,0.4,-0.4,0,,,,,,,,,,,,,0,0,4888,,,0,0,1.59,0.12,-0.12,0,0,4.66,,,0,0
54,kap CrB,Radial Velocity,1,1251,15,-15,0,2.6,,,0,0.073,0.049,-0.049,0,1.6,,,0,,,,,,,,,,,,,,,,,0,0,4877,25,,0,,1.51,0.19,,0,,5,0.2,,0,
55,kap And,Imaging,1,,,,,55,2,-2,0,,,,,13.616,23.042,-1.047,0,,,,,,,,,,,,,,,,,0,0,10900,300,-300,0,0,2.6,0.2,-0.2,0,0,,,,,
56,mu Leo,Radial Velocity,1,357.8,1.2,-1.2,0,1.1,0.1,-0.1,0,0.09,0.06,-0.06,0,,,,,2.4,0.4,-0.4,0,,,,,,,,,,,,,0,0,4538.2,27.5,-27.5,0,0,1.5,0.1,-0.1,0,0,11.4,0.2,-0.2,0,0
57,nu Oph,Radial Velocity,2,530.32,0.35,-0.35,0,1.9,,,0,0.1256,0.0065,-0.0065,0,24,,,0,,,,,,,,,,,,,,,,,0,0,4928,25,,0,,3.04,0.06,,0,,15.1,1.1,,0,
58,nu Oph,Radial Velocity,2,3186,14,-14,0,6.1,,,0,0.165,0.013,-0.013,0,27,,,0,,,,,,,,,,,,,,,,,0,0,4928,25,,0,,3.04,0.06,,0,,15.1,1.1,,0,
59,ome Ser,Radial Velocity,1,277.02,0.52,-0.51,0,1.1,,,0,0.106,0.079,-0.069,0,,,,,1.7,,,0,,,,,,,,,,,,,0,0,4770,10,-10,0,0,2.17,0.21,-0.29,0,0,12.3,0.88,-0.82,0,0
60,omi CrB,Radial Velocity,1,187.83,0.54,-0.54,0,0.83,,,0,0.191,0.085,-0.085,0,1.5,,,0,,,,,,,,,,,,,,,,,0,0,4749,20,,0,,2.13,0.23,,0,,10.5,0.7,,0,
61,omi UMa,Radial Velocity,1,1630,35,-35,0,3.9,,,0,0.13,0.065,-0.065,0,4.1,,,0,,,,,,,,,,,,,,,,,0,0,5242,10,,0,,3.09,0.07,,0,,14.1,1,,0,
62,rho CrB,Radial Velocity,1,39.845,,,0,0.22,,,0,0.04,0.15,-0.15,0,,,,,1.04,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
63,tau Boo,Radial Velocity,1,3.3124568,0.0000069,-0.0000069,0,0.049,0.003,-0.003,0,0.011,0.006,-0.006,0,,,,,4.32,0.04,-0.04,0,,,,,,,,,,,,,0,0,6400,,,0,0,1.34,0.05,-0.05,0,0,1.46,0.05,-0.05,0,0
64,tau Gem,Radial Velocity,1,305.5,0.1,-0.1,0,1.17,,,0,0.031,0.009,-0.009,0,,,,,20.6,,,0,,,,,,,,,,,,,0,0,4388,25,-25,0,0,2.3,0.3,-0.3,0,0,26.8,0.7,-0.7,0,0
65,ups And,Radial Velocity,4,4.617033,0.000023,-0.000023,0,0.059222,0,0,0,0.0215,0.0007,-0.0007,0,,,,,0.6876,0.0044,-0.0044,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
66,ups And,Radial Velocity,4,241.258,0.064,-0.064,0,0.827774,0.000015,-0.000015,0,0.2596,0.0079,-0.0079,0,,,,,1.981,0.019,-0.019,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
67,ups And,Radial Velocity,4,1276.46,0.57,-0.57,0,2.51329,0.00075,-0.00075,0,0.2987,0.0072,-0.0072,0,,,,,4.132,0.029,-0.029,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
68,ups And,Radial Velocity,4,3848.86,0.74,-0.74,0,5.24558,0.00067,-0.00067,0,0.00536,0.00044,-0.00044,0,,,,,1.059,0.028,-0.028,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
69,xi Aql,Radial Velocity,1,136.75,0.25,-0.25,0,0.68,,,0,0,,,0,,,,,2.8,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
70,Fomalhaut,Imaging,1,318280,,,0,115,,,0,0.13,,,-1,2.6,0.9,-0.9,0,,,,,1.2,,,0,,,,,,,,,0,0,,,,,,2,,,0,0,,,,,
71,Kapteyn,Radial Velocity,2,48.616,0.036,-0.032,0,0.168,0.006,-0.008,0,0.21,0.11,-0.1,0,,,,,0.015,0.003,-0.003,0,,,,,,,,,,,,,0,0,3550,50,-50,0,0,0.28,0.01,-0.01,0,0,0.29,0.03,-0.03,0,0
72,Kapteyn,Radial Velocity,2,121.54,0.25,-0.25,0,0.311,0.038,-0.014,0,0.23,0.1,-0.12,0,,,,,0.022,0.004,-0.003,0,,,,,,,,,,,,,0,0,3550,50,-50,0,0,0.28,0.01,-0.01,0,0,0.29,0.03,-0.03,0,0
73,1RXS J160929.1-210524,Imaging,1,,,,,330,,,0,,,,,8,1,-1,0,,,,,,,,,,,,,,,,,0,0,4060,300,-200,0,0,0.85,0.2,-0.1,0,0,,,,,0
74,2MASS J01225093-2439505,Imaging,1,,,,,52,6,-6,0,,,,,24.5,2.5,-2.5,0,,,,,,,,,,,,,,,,,0,0,3530,50,-50,0,0,0.4,0.05,-0.05,0,0,,,,,
75,2MASS J04414489+2301513,Imaging,1,,,,,15,,,0,,,,,7.5,2.5,-2.5,0,,,,,,,,,,,,,,,,,0,0,,,,,,0.02,,,0,0,,,,,
76,2MASS J12073346-3932539,Imaging,1,,,,,46,5,-5,0,,,,,4,1,-1,0,,,,,,,,,,,,,,,,,0,0,,,,,,0.02,,,0,0,,,,,
77,2MASS J21402931+1625183 A,Imaging,1,7336.5,1934.5,-584,0,,,,,0.26,0.06,-0.06,0,20.95,83.79,-20.95,0,,,,,0.92,0.39,-0.36,0,,,,,46.2,2.5,-8.7,0,0,0,2300,80,-80,0,0,0.08,0.06,-0.06,0,0,0.12,0.05,-0.04,0,0
78,BD-17 63,Radial Velocity,1,655.6,0.6,-0.6,0,1.34,0.02,-0.02,0,0.54,0.005,-0.005,0,,,,,5.1,0.12,-0.12,0,,,,,,,,,,,,,0,0,4714,93,-93,0,0,0.74,0.03,-0.03,0,0,0.69,,,0,0
79,BD-13 2130,Radial Velocity,1,714.3,5.3,-5.3,0,2.1,,,0,0.21,0.07,-0.07,0,,,,,10.6,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
80,BD-11 4672,Radial Velocity,1,1667,33,-31,0,2.28,0.07,-0.07,0,0.05,0.06,-0.04,0,,,,,0.53,0.05,-0.05,0,,,,,,,,,,,,,0,0,4475,100,-100,0,0,0.57,0.01,-0.01,0,0,0.52,0.02,-0.02,0,0
81,BD-10 3166,Radial Velocity,1,3.48777,0.00011,-0.00011,0,0.0452,0.0026,-0.0026,0,0.019,0.023,-0.023,0,,,,,0.458,0.039,-0.039,0,,,,,,,,,,,,,0,0,5393,,,0,0,1.01,,,,0,,,,,
82,BD-08 2823,Radial Velocity,2,5.6,0.02,-0.02,0,0.056,0.002,-0.002,0,0.15,0.15,-0.15,0,,,,,0.045,0.007,-0.007,0,,,,,,,,,,,,,0,0,4746,63,-63,0,0,0.74,0.07,-0.07,0,0,,,,,
83,BD-08 2823,Radial Velocity,2,237.6,1.5,-1.5,0,0.68,0.02,-0.02,0,0.19,0.09,-0.09,0,,,,,0.33,0.03,-0.03,0,,,,,,,,,,,,,0,0,4746,63,-63,0,0,0.74,0.07,-0.07,0,0,,,,,
84,BD-06 1339,Radial Velocity,2,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,0,,,0,,,,,0.027,0.004,-0.004,0,,,,,,,,,,,,,0,0,4324,100,-100,0,0,0.7,,,0,0,,,,,
85,BD-06 1339,Radial Velocity,2,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,0.31,0.11,-0.11,0,,,,,0.17,0.03,-0.03,0,,,,,,,,,,,,,0,0,4324,100,-100,0,0,0.7,,,0,0,,,,,
86,BD+14 4559,Radial Velocity,1,268.94,0.99,-0.99,0,0.777,,,0,0.29,0.03,-0.03,0,,,,,1.47,,,0,,,,,,,,,,,,,0,0,5008,20,-20,0,0,0.86,0.15,-0.15,0,0,0.95,0.2,-0.2,0,0
87,BD+15 2940,Radial Velocity,1,137.48,0.34,-0.34,0,0.539,,,0,0.26,0.1,-0.1,0,,,,,1.11,,,0,,,,,,,,,,,,,0,0,4796,117,-117,0,0,1.1,0.2,-0.2,0,0,14.7,2.8,-2.8,0,0
88,BD+20 274,Radial Velocity,1,578.2,5.4,-5.4,0,1.3,,,0,0.21,0.06,-0.06,0,4.2,,,0,,,,,,,,,,,,,,,,,0,0,4296,10,-10,0,0,0.8,0.2,-0.2,0,0,17.3,0.9,-0.9,0,0
89,BD+20 1790,Radial Velocity,1,7.78287,0.00077,-0.00076,0,0.066,0.005,-0.006,0,0.22,0.07,-0.09,0,,,,,6.37,1.35,-1.35,0,,,,,,,,,,,,,0,0,4410,,,0,0,0.63,0.09,-0.09,0,0,0.71,0.03,-0.03,0,0
90,BD+20 2457,Radial Velocity,2,379.63,2.01,-2.01,0,1.45,,,0,0.15,0.03,-0.03,0,,,,,21.42,,,0,,,,,,,,,,,,,0,0,4137,10,-10,0,0,2.8,1.5,-1.5,0,0,49,26,-26,0,0
91,BD+20 2457,Radial Velocity,2,621.99,10.2,-10.2,0,2.01,,,0,0.18,0.06,-0.06,0,,,,,12.47,,,0,,,,,,,,,,,,,0,0,4137,10,-10,0,0,2.8,1.5,-1.5,0,0,49,26,-26,0,0
92,BD+48 738,Radial Velocity,1,392.6,5.5,-5.5,0,1,,,0,0.2,0.1,-0.1,0,,,,,0.91,,,0,,,,,,,,,,,,,0,0,4414,15,-15,0,0,0.74,0.39,-0.39,0,0,11,1,-1,0,0
93,BD+49 828,Radial Velocity,1,2590,300,-180,0,4.2,0.32,-0.2,0,0.35,0.24,-0.1,0,,,,,1.6,0.4,-0.2,0,,,,,,,,,,,,,0,0,4943,30,-30,0,0,1.52,0.22,-0.22,0,0,7.6,1.3,-1.3,0,0
94,CFBDSIR J145829+101343,Imaging,1,10037.5,2737.5,-2737.5,0,2.6,0.3,-0.3,0,,,,,10.5,4.5,-4.5,0,,,,,,,,,,,,,,,,,0,0,580.5,24.5,-24.5,0,0,0.02,0.01,-0.01,0,0,,,,,
95,CHXR 73,Imaging,1,,,,,210,,,0,,,,,12.569,8.379,-5.237,0,,,,,,,,,,,,,,,,,0,0,,,,,,0.35,,,0,0,,,,,
96,CoRoT-1,Transit,1,1.5089557,0.0000064,-0.0000064,0,,,,,0,,,0,1.03,0.12,-0.12,0,,,,,1.49,0.08,-0.08,0,0.38,0.05,-0.05,0,85.1,0.5,-0.5,0,0,0,5950,150,-150,0,0,0.95,0.15,-0.15,0,0,1.11,0.05,-0.05,0,0
97,CoRoT-2,Transit,1,1.7429935,0.000001,-0.000001,0,0.02798,0.00076,-0.0008,0,0.0143,0.0077,-0.0076,0,3.47,0.22,-0.22,0,,,,,1.466,0.042,-0.044,0,1.47,0.08,-0.074,0,88.08,0.18,-0.16,0,0,0,5625,120,-120,0,0,0.96,0.08,-0.08,0,0,0.91,0.03,-0.03,0,0
98,CoRoT-3,Transit,1,4.2568,0.000005,-0.000005,0,,,,,0,,,0,21.66,1,-1,0,,,,,1.01,0.07,-0.07,0,26.4,5.6,-5.6,0,85.9,0.8,-0.8,0,0,0,6740,140,-140,0,0,1.37,0.09,-0.09,0,0,1.56,0.09,-0.09,0,0
99,CoRoT-4,Transit,1,9.20205,0.00037,-0.00037,0,0.09,0.001,-0.001,0,0,0.1,-0.1,0,0.72,0.08,-0.08,0,,,,,1.19,0.06,-0.05,0,0.525,0.15,-0.15,0,90,0,-0.085,0,0,0,6190,60,-60,0,0,1.16,0.03,-0.02,0,0,1.17,0.01,-0.03,0,0
100,CoRoT-5,Transit,1,4.0378962,0.0000019,-0.0000019,0,0.04947,0.00026,-0.00029,0,0.09,0.09,-0.04,0,0.467,0.047,-0.024,0,,,,,1.388,0.046,-0.047,0,0.217,0.031,-0.025,0,85.83,0.99,-1.38,0,0,0,6100,65,-65,0,0,1,0.02,-0.02,0,0,1.19,0.04,-0.04,0,0
101,CoRoT-6,Transit,1,8.886593,0.000004,-0.000004,0,0.0855,0.0015,-0.0015,0,0.1,,,1,2.96,0.34,-0.34,0,,,,,1.166,0.035,-0.035,0,2.32,0.31,-0.31,0,89.07,0.3,-0.3,0,0,0,6090,70,-70,0,0,1.05,0.05,-0.05,0,0,1.02,0.03,-0.03,0,0
102,CoRoT-7,Transit,2,0.85359159,0.00000057,-0.00000057,0,0.017016,0.00017,-0.000036,0,0,,,0,0.018,0.003,-0.003,0,,,,,0.141,0.006,-0.006,0,7.5,1.4,-1.4,0,80.78,0.51,-0.23,0,0,0,5259,58,-58,0,0,0.91,0.02,-0.02,0,0,0.82,0.02,-0.02,0,0
103,CoRoT-7,Radial Velocity,2,3.698,0.003,-0.003,0,0.046,,,0,0,,,0,0.026,0.003,-0.003,0,,,,,,,,,,,,,,,,,0,0,5259,58,-58,0,0,0.91,0.02,-0.02,0,0,0.82,0.02,-0.02,0,0
104,CoRoT-8,Transit,1,6.21229,0.00003,-0.00003,0,0.063,0.001,-0.001,0,0,,,0,0.22,0.03,-0.03,0,,,,,0.57,0.02,-0.02,0,1.6,0.1,-0.1,0,88.4,0.1,-0.1,0,0,0,5080,80,-80,0,0,0.88,0.04,-0.04,0,0,0.77,0.02,-0.02,0,0
105,CoRoT-9,Transit,1,95.2738,0.0014,-0.0014,0,0.407,0.005,-0.005,0,0.11,0.04,-0.04,0,0.84,0.07,-0.07,0,,,,,1.05,0.04,-0.04,0,0.9,0.13,-0.13,0,89.99,0.01,-0.04,0,0,0,5625,80,-80,0,0,0.99,0.04,-0.04,0,0,0.94,0.04,-0.04,0,0
